scenario,strategy,final_nav,sharpe,max_drawdown,rebalance_count,total_generated_views
None,EW,1.7917498757232198,1.7615542793581045,-0.08113652084888656,122,133
None,MVO,1.183137438796714,0.15942740945186146,-0.34330821418707036,122,133
rule_based,BL,2.273011700650534,1.5066698110464167,-0.26414100514019256,122,133
ml_xgboost,BL,2.095707620150007,1.0911315324602275,-0.2195268083644486,122,255
